"","name","good.boost","bad.boost","good.maven","bad.maven","good.conn","bad.conn","good.pop","bad.pop","good.random","bad.random","id"
"1","Serendipity 3",64,64,68,48,64,60,48,56,60,44,1
"2","The Mirage",88,56,84,20,80,56,76,44,88,40,2
"3","Bachi Burger",80,28,80,44,76,52,84,28,72,44,3
"4","Rio All Suites Hotel & Casino",68,40,68,32,68,44,60,40,68,56,4
"5","Tao Nightclub",80,56,76,48,80,64,68,60,76,64,5
"6","The Buffet at Bellagio",72,56,76,20,76,40,84,40,72,64,6
"7","Pho Kim Long",72,56,72,36,84,56,68,60,68,48,7
"8","Pho Kim Long",72,56,68,36,80,56,64,60,68,48,8
"9","LAVO Italian Restaurant & Lounge",64,36,68,0,76,36,60,28,72,60,9
"10","Excalibur Hotel",56,68,40,48,36,56,36,44,72,64,10
"11","Excalibur Hotel",56,68,40,48,36,52,36,44,72,68,11
"12","Trump Hotel",72,56,72,25,72,36,72,36,88,56,12
"13","Hash House A Go Go",68,40,60,40,60,48,56,40,64,56,13
"14","McCarran International Airport",80,48,72,0,64,56,68,52,64,48,14
"15","Imperial Palace Hotel & Casino",64,64,60,56,60,60,48,60,56,60,15
"16","Hard Rock Hotel & Casino",80,68,80,20,84,52,84,36,72,60,16
"17","The Buffet",80,52,84,24,68,44,68,48,72,60,17
"18","Pizzeria Bianco",76,44,80,28,80,48,72,28,68,52,18
"19","Pizzeria Bianco",76,44,72,28,76,48,72,28,68,64,19
"20","Palms Casino Resort",80,64,80,32,84,28,76,36,80,64,20
"21","Stratosphere",72,60,72,56,64,52,64,56,72,60,21
"22","KÃ€ by Cirque Du Soleil",80,48,84,28,76,40,72,36,72,60,22
"23","Planet Hollywood Las Vegas Resort & Casino",64,44,64,24,72,24,64,36,76,72,23
"24","Wynn Las Vegas",76,20,68,0,72,20,68,17.6470588235294,80,32,24
"25","Bellagio Hotel",68,44,68,0,76,12.5,72,0,68,40,25
"26","Hooters Casino Hotel",72,72,44,64,56,56,48,64,56,72,26
"27","Tao Asian Bistro",76,33.3333333333333,64,33.33333333,68,48,64,36,72,52,27
"28","Luxor Hotel And Casino Las Vegas",64,72,56,52,44,64,40,68,72,60,28
